"","PROPERTY.GROUP","last_violation","gap","n_serious_violations_year","n_evictions","last_year_serious","n_serious_violations","ID","VIOLATION.LAST.MODIFIED.DATE","VIOLATION.DATE","VIOLATION.CODE","VIOLATION.STATUS","VIOLATION.STATUS.DATE","VIOLATION.DESCRIPTION","VIOLATION.LOCATION","VIOLATION.INSPECTOR.COMMENTS","VIOLATION.ORDINANCE","INSPECTOR.ID","INSPECTION.NUMBER","INSPECTION.STATUS","INSPECTION.WAIVED","INSPECTION.CATEGORY","DEPARTMENT.BUREAU","ADDRESS","STREET.NUMBER","STREET.DIRECTION","STREET.NAME","STREET.TYPE","SSA","LATITUDE","LONGITUDE","LOCATION","street","serious","violation_year"
"11",1525,"2023-08-28",NA,8,19,"2023-08-28",32,1792008,"2008-07-25","2006-11-17","CN104015","COMPLIED","2008-06-30","REPLCE WINDOW PANES, PLEXGLAS",NA,"NORTH ELEVATION INSIDE COURTYARD AND WEST ELEVATION AND EAST ELEVATION TO NORTH OF 202 ENTRY AT 2ND FLOOR BROKEN WINDOWS","Replace broken, missing or defective window panes. (13-196-550 A)","BL00275",2300147,"FAILED","N","PERIODIC","CONSERVATION","200 N KENNETH AVE",200,"N","KENNETH","AVE",NA,41.883294176,-87.736937179,"(41.88329417644199, -87.7369371790782)","N KENNETH AVE","Y",2006
"12",1530,"2023-11-20",NA,7,37,"2023-11-20",39,1585325,"2008-05-02","2006-08-04","EL0029","COMPLIED","2008-03-04","EXPOSED WIRING",NA,"116-118 HALLWAY EXPOSED WIRES ALSO AT 4400-02","Remove exposed wiring. (18-27-300.4)","BL00952",1621833,"FAILED","N","PERIODIC","CONSERVATION","100 N KOSTNER AVE",100,"N","KOSTNER","AVE",NA,41.881992824,-87.735663892,"(41.881992823520335, -87.73566389230174)","N KOSTNER AVE","Y",2006
"13",1543,"2021-11-02",NA,5,1,"2021-11-02",7,2010300,"2009-06-22","2007-05-02","CN062024","COMPLIED","2009-01-23","PARAPET",NA,"ALL ELEVATION PARAPET WALL WASHED OUT MORTAR.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00275",1896420,"FAILED","N","PERIODIC","CONSERVATION","4507 W WASHINGTON BLVD",4507,"W","WASHINGTON","BLVD",NA,41.881786322,-87.738311624,"(41.88178632184437, -87.73831162413308)","W WASHINGTON BLVD","Y",2007
"14",1556,"2023-12-06",NA,8,19,"2023-12-06",54,2656495,"2008-08-25","2008-06-03","CN134016","OPEN",NA,"RATS",NA,"RATS INFESTING BUILDING RAT CURROWS FRONT YARD.","Rid premises of rodents and seal rodent holes. (13-196-530 D, 13-196-540 A, 13-196-630 C)","BL00254",2026966,"FAILED","N","PERIODIC","CONSERVATION","1 N LAVERGNE AVE",1,"N","LAVERGNE","AVE",NA,41.880503593,-87.750028738,"(41.88050359302711, -87.75002873801891)","N LAVERGNE AVE","Y",2008
"15",1558,"2021-09-07",NA,13,60,"2021-09-07",81,2131859,"2007-08-02","2007-07-24","CN101015","OPEN",NA,"REPAIR INTERIOR WALLS/CEILING",NA,"30-38N/5001-03W/INTERIOR STAIRWAY WALL AND CEILING BROKEN PLASTERS WITH HOLES FROM GRADE TO 3.","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00952",1952180,"FAILED","N","PERIODIC","CONSERVATION","30 N LAVERGNE AVE",30,"N","LAVERGNE","AVE",NA,41.881419551,-87.750356226,"(41.88141955065823, -87.7503562256919)","N LAVERGNE AVE","Y",2007
"16",1560,"2021-03-11",NA,8,25,"2021-03-11",39,1817798,"2007-07-19","2006-05-10","CN070024","COMPLIED","2007-06-01","REPAIR PORCH SYSTEM",NA,"A. REAR PORCH, 5141:MISSING RISERS , JOIST 2X8, LEDGER IMPROPERLY ANCHORED, STRINGER IMPROPER SIZE, BEAMS SCABBED, IMPROPERLY ANCHORED; B. JOISTS SCABBED, LEDGER IMPROPER CUT AND ANCHOR. BEAM IMPROPER MATERIAL, 2X10 NAIL TO COLUMN, COLUMN BOWING, TWISTED","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00662",1627401,"FAILED","N","PERIODIC","CONSERVATION","130 N LEAMINGTON AVE",130,"N","LEAMINGTON","AVE",NA,41.882756063,-87.754076587,"(41.882756062897236, -87.7540765872837)","N LEAMINGTON AVE","Y",2006
"17",1563,"2022-04-11",NA,10,49,"2022-04-11",34,1349516,"2008-02-26","2006-01-26","CN106015","COMPLIED","2008-02-01","REPAIR INTERIOR STAIR SYSTEM",NA,"SOUTH STAIRWAY 1ST TO 3RD MISSING BALISTERS","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL00254",1457375,"FAILED","N","PERIODIC","CONSERVATION","169 N LECLAIRE AVE",169,"N","LECLAIRE","AVE",NA,41.883764077,-87.752596776,"(41.88376407685289, -87.75259677584255)","N LECLAIRE AVE","Y",2006
"18",1564,"2022-11-16",NA,6,5,"2022-11-16",37,2440049,"2008-03-19","2008-02-22","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"REAR PORCH 5104 MISSING LAG BOLTS FROM LEDGER BOARD 3RD FL MISSING JOIST HANGERS 5104 1ST TO 2ND MISSING LAG BOLTS & JOIST HANGERS 1ST-2ND-3RD 12-18.","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00254",1124892,"FAILED","N","PERIODIC","CONSERVATION","2 N LECLAIRE AVE",2,"N","LECLAIRE","AVE",NA,41.880467111,-87.752768135,"(41.88046711122684, -87.75276813509325)","N LECLAIRE AVE","Y",2008
"19",1576,"2023-04-12",NA,7,21,"2023-04-12",24,1379064,"2007-03-20","2006-05-04","CN104015","COMPLIED","2007-01-30","REPLCE WINDOW PANES, PLEXGLAS","5117 /FRONT COURT YARD 1ST FLOOR","BROKEN WINDOW","Replace broken, missing or defective window panes. (13-196-550 A)","BL00662",1502812,"FAILED","N","PERIODIC","CONSERVATION","5113 W WASHINGTON BLVD",5113,"W","WASHINGTON","BLVD",NA,41.88160433,-87.753200131,"(41.88160433016591, -87.75320013069125)","W WASHINGTON BLVD","Y",2006
"20",1581,"2023-06-28",NA,10,45,"2023-06-28",28,1723580,"2006-10-25","2006-09-19","CN104015","OPEN",NA,"REPLCE WINDOW PANES, PLEXGLAS",NA,"SR06-01666497 - BROKEN PANES VARIOUS LOCATIONS FRONT COURTWAY","Replace broken, missing or defective window panes. (13-196-550 A)","BL00812",1585442,"FAILED","N","COMPLAINT","CONSERVATION","5030 W WASHINGTON BLVD",5030,"W","WASHINGTON","BLVD",NA,41.881845879,-87.751485789,"(41.88184587942291, -87.75148578855485)","W WASHINGTON BLVD","Y",2006
"21",1582,"2023-03-31",NA,5,9,"2023-03-31",19,1394193,"2009-01-06","2006-04-25","CN070014","COMPLIED","2008-10-16","REPAIR EXTERIOR STAIR",NA,"5042/5044/5046 REAR STAIRS TO BASEMENT BROKEN AND MISSING RAILINGS","Failed to maintain exterior stairways in safe condition and in sound repair.  (13-196-570, 13-196-641)","BL00275",2359418,"FAILED","N","PERIODIC","CONSERVATION","5042 W WASHINGTON BLVD",5042,"W","WASHINGTON","BLVD",NA,41.881840223,-87.751940951,"(41.88184022290312, -87.7519409507561)","W WASHINGTON BLVD","Y",2006
"22",1584,"2021-06-10",NA,10,49,"2021-06-10",35,1482701,"2007-10-15","2006-05-09","CN062024","COMPLIED","2007-08-08","PARAPET",NA,"PARAPET  WALLS  FRONT FRACTURE.","Failed to maintain parapet wall in good repair and free from cracks and defects.  (13-196-530 and 13-196-641)","BL00831",1507249,"FAILED","N","PERIODIC","CONSERVATION","5014 W WEST END AVE",5014,"W","WEST END","AVE",NA,41.883169657,-87.750925545,"(41.883169656547715, -87.7509255446251)","W WEST END AVE","Y",2006
"23",1589,"2023-05-30",NA,8,75,"2023-05-30",34,3047224,"2009-04-23","2009-03-30","CN015062","OPEN",NA,"OBSTRUCTIONS IN EXIT WAY",NA,"REAR GATES AT ALLEY FOR YARDS DOUBLE KEY DEAD BOLT LATCH LOCKS.","Failed to remove obstruction from exitway that hampers travel and evacuation.  (13-160-070, 13-196-080)","BL00254",1504947,"FAILED","N","PERIODIC","CONSERVATION","127 N CENTRAL AVE",127,"N","CENTRAL","AVE",NA,41.883074523,-87.764809147,"(41.88307452311925, -87.76480914658643)","N CENTRAL AVE","Y",2009
"24",1591,"2023-04-27",NA,5,16,"2023-04-27",8,2637977,"2009-03-31","2008-07-08","CN070024","COMPLIED","2008-12-19","REPAIR PORCH SYSTEM",NA,"REAR PORCH METAL FLOOR BOARD RUSTING WITH HOLES LOOSE TREAD","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00466",2331110,"PASSED","N","COMPLAINT","SPECIAL TASK FORCE","227 N CENTRAL AVE",227,"N","CENTRAL","AVE",NA,41.885067048,-87.764887156,"(41.88506704805413, -87.76488715568595)","N CENTRAL AVE","Y",2008
"25",1592,"2023-08-08",NA,4,0,"2023-08-08",12,1901529,"2009-06-24","2007-01-08","CN062014","COMPLIED","2009-03-30","PARAPET & COPING",NA,"WEST - CRACKS IN PARAPET WALL AT NORTHWEST CORNER. SOUTH - OPEN MORTAR JOINTS AT PARAPET WALL. CRACKED COPING AT CHIMNEY. EAST - OPEN MORTAR JOINTS AT PARAPET WALL.","Failed to maintain the parapet wall and coping in good repair and free from cracks and defects.  (13-196-530, 13-196-530(e) and 13-196-641)","BL00254",1843230,"FAILED","N","PERIODIC","CONSERVATION","301 N CENTRAL AVE",301,"N","CENTRAL","AVE",NA,41.885795868,-87.764912438,"(41.88579586807118, -87.76491243834)","N CENTRAL AVE","Y",2007
"26",1593,"2023-01-06",NA,8,21,"2023-01-06",29,1606816,"2006-08-28","2006-03-27","EL0023","OPEN",NA,"INSTALL COVERS",NA,"ABOVE RETAIL SPACE AT FRONT OPEN ELECTRICAL BOXES LIGHTED SIGN REMOVE","Install cover on outlet or junction box. (18-27-370.25)","BL00900",1409353,"FAILED","N","PERIODIC","CONSERVATION","331 N CENTRAL AVE",331,"N","CENTRAL","AVE",NA,41.886677663,-87.764944686,"(41.886677663149925, -87.76494468556925)","N CENTRAL AVE","Y",2006
"27",1595,"2022-04-04",NA,13,73,"2022-04-04",97,1425354,"2012-02-16","2006-04-17","CN134016","COMPLIED","2012-02-14","RATS",NA,"AREAWAY EVIDENCE OF RATS","Rid premises of rodents and seal rodent holes. (13-196-530 D, 13-196-540 A, 13-196-630 C)","BL00662",1488370,"FAILED","N","PERIODIC","CONSERVATION","340 N LATROBE AVE",340,"N","LATROBE","AVE",NA,41.886837721,-87.756672438,"(41.88683772133607, -87.75667243817995)","N LATROBE AVE","Y",2006
"28",1607,"2023-12-04",NA,14,47,"2023-12-04",66,1878344,"2007-02-14","2007-02-06","CN132016","OPEN",NA,"HEAT UNIT ADEQUATELY",NA,"INADEQUATE HEAT APARTMENT 1S IS 58 DEGREES APARTMENT 1N IS 62 DEGREES","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL00942",1834240,"FAILED","N","COMPLAINT","CONSERVATION","10 N LOREL AVE",10,"N","LOREL","AVE",NA,41.880654201,-87.758889254,"(41.88065420142777, -87.75888925365055)","N LOREL AVE","Y",2007
"29",1609,"2023-01-04",NA,7,11,"2023-01-04",18,5889826,"2017-12-11","2017-12-11","CN101015","OPEN",NA,"REPAIR INTERIOR WALLS/CEILING","OTHER   :    :","12 N. / APT. 2A / BEDROOM CEILING - SPALLING AND LOOSE PLASTER.","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00722",12376788,"FAILED","N","COMPLAINT","CONSERVATION","10 N LONG AVE",10,"N","LONG","AVE",NA,41.880637037,-87.760278664,"(41.88063703697118, -87.76027866391996)","N LONG AVE","Y",2017
"30",1611,"2023-06-26",NA,7,36,"2023-06-26",11,1714634,"2007-11-07","2006-10-11","CN106015","COMPLIED","2007-09-18","REPAIR INTERIOR STAIR SYSTEM",NA,"124 N LONG LOOSE STAIRCASE GRADE TO 1ST WEAK TREADS GRADE TO 2ND","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL01002",1581302,"PASSED","N","COMPLAINT","CONSERVATION","124 N LONG AVE",124,"N","LONG","AVE",NA,41.883018685,-87.760362559,"(41.88301868505955, -87.76036255867483)","N LONG AVE","Y",2006
"31",1619,"2023-08-24",NA,8,2,"2023-08-24",25,2897671,"2009-07-30","2008-09-27","CN104015","COMPLIED","2009-05-30","REPLCE WINDOW PANES, PLEXGLAS",NA,"GLASS BROKEN ENTRY DOOR AT 62 N. LOTUS","Replace broken, missing or defective window panes. (13-196-550 A)","BL01001",2514481,"FAILED","N","PERIODIC","CONSERVATION","52 N LOTUS AVE",52,"N","LOTUS","AVE",NA,41.8818367,-87.76174063,"(41.88183669981021, -87.76174063025644)","N LOTUS AVE","Y",2008
"32",1621,"2023-06-13",NA,11,8,"2023-06-13",50,1486997,"2008-07-09","2006-03-13","CN197019","COMPLIED","2008-04-03","INSTALL SMOKE DETECTORS",NA,"INSTALL AND MAINTAIN SMOKE DETECTORS THRU-OUT BUILDING","Install and maintain approved smoke detectors. (13-196-100 thru 13-196-160) Install a smoke detector in every dwelling unit. Install one on any living level with a habitable room or unenclosed heating plant, on the uppermost ceiling of enclosed porch stairwell, and within 15 feet of every sleeping room. Be sure the detector is at least 4 inches from the wall, 4 to 12 inches from the ceiling, and not above door or window.","BL00496",1565293,"FAILED","N","PERIODIC","CONSERVATION","160 N LOTUS AVE",160,"N","LOTUS","AVE",NA,41.884063806,-87.761820565,"(41.88406380600247, -87.76182056487853)","N LOTUS AVE","Y",2006
"33",1625,"2023-06-22",NA,4,10,"2023-06-22",11,3907763,"2017-07-10","2011-07-01","CN104015","COMPLIED","2017-07-11","REPLCE WINDOW PANES, PLEXGLAS","OTHER   :    :","NORTH ELEVATION 1ST AND 2ND FLR.WINDOW PANE;BROKEN","Replace broken, missing or defective window panes. (13-196-550 A)","282126",10927591,"FAILED","N","PERIODIC","CONSERVATION","331 N PINE AVE",331,"N","PINE","AVE",NA,41.886705655,-87.763263444,"(41.88670565520489, -87.76326344416421)","N PINE AVE","Y",2011
"34",1628,"2023-07-20",NA,10,19,"2023-07-20",52,1673040,"2008-11-10","2006-09-12","CN070024","COMPLIED","2008-10-21","REPAIR PORCH SYSTEM",NA,"SR06-01677263  224 & 228, NO RISERS; LEDGER ANCHOR BOLTS MISSING PICKETS; BROKEN AND DAMAGED RAILS TOP: COLUMNS TWISTED;  REQUIRE PERMIT","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL01001",1565031,"FAILED","N","PERIODIC","CONSERVATION","224 N PINE AVE",224,"N","PINE","AVE",NA,41.885024869,-87.7634994,"(41.88502486852641, -87.7634993999224)","N PINE AVE","Y",2006
"35",1629,"2021-12-22",NA,7,23,"2021-12-22",33,1530688,"2006-08-03","2006-06-29","CN070024","OPEN",NA,"REPAIR PORCH SYSTEM",NA,"SR06-01043639 (230) REAR PORCH LEDGER MISSING ANCHOR BOLT, NO RISERS BROKEN PICKETS, LOOSE GUARDRAILS, BALUSTERS, 1X6 HANGING OFF BEAM 3RD FLOOR 234 ENTRANCE, NO RISERS, MISSING PICKETS, LEDGER MISSING ANCHOR BOLTS STRINGER NOT ANCHOR","Failed to repair or replace defective or missing members of porch system.  (13-196-570, 13-196-641)","BL00812",1413033,"FAILED","N","PERIODIC","CONSERVATION","230 N PINE AVE",230,"N","PINE","AVE",NA,41.885200298,-87.763505635,"(41.8852002981652, -87.7635056348867)","N PINE AVE","Y",2006
"36",1630,"2021-06-01",NA,4,64,"2021-06-01",10,3418797,"2011-02-25","2010-03-02","CN106015","COMPLIED","2011-02-18","REPAIR INTERIOR STAIR SYSTEM","INTERIOR:003 :INTERIOR STAIRSYSTEM. BL00740","GUARD RAILS MISSING BOLTS TO BRICK AND UNDER 42'' IN HEIGHT","Failed to maintain interior stairway system in safe condition and sound repair. (13-196-570)","BL01001",9893986,"FAILED","N","PERIODIC","CONSERVATION","238 N PINE AVE",238,"N","PINE","AVE",NA,41.885432334,-87.763511972,"(41.88543233372617, -87.7635119716131)","N PINE AVE","Y",2010
"37",1632,"2022-10-17",NA,5,22,"2022-10-17",12,1771852,"2006-11-30","2006-11-21","CN132016","OPEN",NA,"HEAT UNIT ADEQUATELY",NA,"APARTMENT 316-1B HEAT NOT PROVIDED ROOM TEMPERATURE 63.6 11:53 AM","Heat dwelling unit adequately from September 15th to June 1st. (13-196-410)","BL00690",1606678,"FAILED","N","COMPLAINT","CONSERVATION","316 N PINE AVE",316,"N","PINE","AVE",NA,41.886286246,-87.763542148,"(41.886286246075166, -87.76354214790238)","N PINE AVE","Y",2006
"38",1635,"2023-06-22",NA,13,381,"2023-06-22",61,1705000,"2006-10-13","2006-09-20","CN197087","OPEN",NA,"CARB MONOX DETECT IN RESID",NA,"LAUNDRY ROOM WITHOUT CARBON MONOXIDE DETECTOR AT BASEMENT, BOILER ROOM WITHOUT ""B"" DOOR, SELF-CLOSER, AND ASSEMBLY","Install carbon monoxide detector within 40 feet of every sleeping room in residential structure. (13-64-190, 13-64-210) A carbon monoxide detector is needed whenever there is a heating appliance on the premises that burns fossil fuel such as gas, oil, or coal, or air that is circulated through a heat exchanger. Install according to manufacturer instructions. A hard wired model requires an electrical wiring permit. In a single family residence, be sure the detector is on or below the lowest floor with a place to sleep. In a multiple dwelling residence heated by a boiler, install a detector in the same room as the boiler. Otherwise, each apartment follows single family guidelines. The owner is responsible for installation and written instructions, the tenant for testing, maintenance, and batteries.","BL00496",1577131,"FAILED","N","COMPLAINT","SPECIAL TASK FORCE","5501 W WASHINGTON BLVD",5501,"W","WASHINGTON","BLVD",NA,41.882155685,-87.763339002,"(41.8821556853476, -87.76333900247775)","W WASHINGTON BLVD","Y",2006
"39",1638,"2023-04-11",NA,5,4,"2023-04-11",11,1581372,"2006-08-21","2006-02-02","CN104015","OPEN",NA,"REPLCE WINDOW PANES, PLEXGLAS",NA,"VARIOUS LOCATION SBROKEN PANES AND STORMS","Replace broken, missing or defective window panes. (13-196-550 A)","BL00746",1535634,"FAILED","N","PERIODIC","CONSERVATION","219 N CENTRAL AVE",219,"N","CENTRAL","AVE",NA,41.884834943,-87.764878679,"(41.88483494254518, -87.76487867893006)","N CENTRAL AVE","Y",2006
"40",1639,"2023-10-17",NA,12,26,"2023-10-17",67,1972671,"2007-04-18","2007-04-09","PL154027","OPEN",NA,"SUPPLY HOT WTR MIN TEMP 120DEG",NA,"KITCHEN SINK IN BASEMENT UNIT (13-196-430)","Supply adequate hot water with minimum temperature of 120 degrees F. (13-196-430)","BL00652",1874649,"FAILED","N","COMPLAINT","PLUMBING","318 N LOTUS AVE",318,"N","LOTUS","AVE",NA,41.88637051,-87.76190191,"(41.88637051042905, -87.76190191049103)","N LOTUS AVE","Y",2007
"41",1645,"2023-08-01",NA,11,20,"2023-08-01",54,1374983,"2007-06-18","2006-04-28","CN136016","OPEN",NA,"ROACHES","VARIOUS LOCATIONS","ADDITIONAL INFORMATION: ROACH EVIDENCE FOUND,IN BUILDING,THROUGHOUTCOMMENTS: SOME MORE THAN OTHERS","Exterminate roaches and keep dwelling insect-free. (13-196-630 C)","BL00254",1916980,"FAILED","N","PERIODIC","CONSERVATION","243 N AUSTIN BLVD",243,"N","AUSTIN","BLVD",NA,41.885382467,-87.774679719,"(41.885382466706915, -87.77467971883239)","N AUSTIN BLVD","Y",2006
"42",1650,"2021-12-30",NA,9,17,"2021-12-30",25,1576978,"2006-08-18","2006-01-19","CN062014","OPEN",NA,"PARAPET & COPING",NA,"WASHED OUT MORTAR","Failed to maintain the parapet wall and coping in good repair and free from cracks and defects.  (13-196-530, 13-196-530(e) and 13-196-641)","BL00611",899123,"FAILED","N","PERIODIC","CONSERVATION","38 N CENTRAL AVE",38,"N","CENTRAL","AVE",NA,41.881387481,-87.765042908,"(41.88138748093545, -87.7650429083511)","N CENTRAL AVE","Y",2006
"43",1653,"2023-04-27",NA,8,27,"2023-04-27",23,1721077,"2008-10-16","2006-09-15","CN101015","COMPLIED","2008-09-24","REPAIR INTERIOR WALLS/CEILING",NA,"APARTMENT 203 BATHROOM WALLS ROTTED / HOLES IN WALLS / GRADE LEVEL THRU CORRIDOR REAR CEILING PEELING PAINT.","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00654",1584195,"FAILED","N","PERIODIC","CONSERVATION","156 N CENTRAL AVE",156,"N","CENTRAL","AVE",NA,41.883908555,-87.765134911,"(41.88390855545027, -87.76513491055454)","N CENTRAL AVE","Y",2006
"44",1654,"2023-04-19",NA,10,61,"2023-04-19",62,1793652,"2007-09-13","2006-08-23","CN101015","COMPLIED","2007-06-22","REPAIR INTERIOR WALLS/CEILING",NA,"APARTMENT SW AT 202 - CEILING IN KITCHEN HUGE HOLE.","Failed to maintain interior walls and ceilings free from holes or cracks.  (13-19-540(c))","BL00309",1616621,"FAILED","N","PERIODIC","CONSERVATION","200 N CENTRAL AVE",200,"N","CENTRAL","AVE",NA,41.884306015,-87.765151907,"(41.88430601491346, -87.76515190653234)","N CENTRAL AVE","Y",2006
